Date,AAPL,MSFT,TSLA
2020-01-02,72.40052795410156,152.15838623046875,28.68400001525879
2020-01-03,71.6966552734375,150.2637176513672,29.53400039672852
2020-01-06,72.26792907714844,150.65219116210938,30.1026668548584
2020-01-07,71.92805480957031,149.2785186767578,31.270666122436523
2020-01-08,73.0850830078125,151.6562957763672,32.80933380126953
2020-01-09,74.63749694824219,153.55096435546875,32.089332580566406
2020-01-10,74.80622863769531,152.8404998779297,31.87666702270508
2020-01-13,76.4044189453125,154.6782989501953,34.990665435791016
2020-01-14,75.37268829345703,153.5888671875,35.861331939697266
2020-01-15,75.04969787597656,154.58349609375,34.56666564941406
2020-01-16,75.98978424072266,157.41604614257812,34.232666015625
2020-01-17,76.83110046386719,158.29702758789062,34.03333282470703
2020-01-21,76.3104019165039,157.72860717773438,36.47999954223633
2020-01-22,76.58280181884766,156.97079467773438,37.97066879272461
2020-01-23,76.95160675048828,157.9370574951172,38.14666748046875
2020-01-24,76.72985076904297,156.3455352783203,37.654666900634766
2020-01-27,74.47358703613281,153.73095703125,37.20133209228516
2020-01-28,76.58038330078125,156.74342346191406,37.79333114624024
2020-01-29,78.18339538574219,159.18751525878906,38.732666015625
2020-01-30,78.07007598876953,163.6778106689453,42.72066879272461
2020-01-31,74.60855102539062,161.2621612548828,43.37133407592773
2020-02-03,74.40369415283203,165.1935272216797,52.0
2020-02-04,76.86001586914062,170.63113403320312,59.137332916259766
2020-02-05,77.48674011230469,170.42271423339844,48.97999954223633
2020-02-06,78.39311218261719,173.9562225341797,49.93066787719727
2020-02-07,77.3275375366211,174.20248413085938,49.87133407592773
2020-02-10,77.69480895996094,178.7590789794922,51.41866683959961
2020-02-11,77.22606658935547,174.7235107421875,51.62533187866211
2020-02-12,79.06002044677734,174.9793243408203,51.15266799926758
2020-02-13,78.49700927734375,174.03199768066406,53.59999847412109
2020-02-14,78.51634216308594,175.5856170654297,53.33533477783203
2020-02-18,77.07867431640625,177.36654663085938,57.22666549682617
2020-02-19,78.19497680664062,177.89852905273438,61.16133117675781
2020-02-20,77.39276885986328,175.18179321289062,59.96066665649414
2020-02-21,75.64098358154297,169.643798828125,60.06666564941406
2020-02-24,72.04800415039062,162.3295135498047,55.58599853515625
2020-02-25,69.60758972167969,159.65081787109375,53.32733154296875
2020-02-26,70.7118148803711,161.64559936523438,51.91999816894531
2020-02-27,66.08952331542969,150.25625610351562,45.26666641235352
2020-02-28,66.05085754394531,153.89437866210938,44.53266525268555
2020-03-02,72.20025634765625,164.13433837890625,49.574668884277344
2020-03-03,69.90721893310547,156.2691192626953,49.70066833496094
2020-03-04,73.14984893798828,162.00657653808594,49.96666717529297
2020-03-05,70.7770767211914,157.9409637451172,48.30266571044922
2020-03-06,69.83712005615234,153.47637939453125,46.89866638183594
2020-03-09,64.31356811523438,143.07492065429688,40.53333282470703
2020-03-10,68.94554901123047,152.85894775390625,43.02199935913086
2020-03-11,66.55103302001953,145.93414306640625,42.28200149536133
2020-03-12,59.97880172729492,132.09405517578125,37.369998931884766
2020-03-13,67.16475677490234,150.87368774414062,36.44133377075195
2020-03-16,58.52421569824219,128.63633728027344,29.67133331298828
2020-03-17,61.0975341796875,139.22779846191406,28.68000030517578
2020-03-18,59.60186767578125,133.3668975830078,24.08133316040039
2020-03-19,59.14519882202149,135.56117248535156,28.50933265686035
2020-03-20,55.39033126831055,130.4696807861328,28.50200080871582
2020-03-23,54.21360397338867,129.16831970214844,28.952667236328125
2020-03-24,59.6525993347168,140.90916442871094,33.66666793823242
2020-03-25,59.323997497558594,139.56028747558594,35.95000076293945
2020-03-26,62.44580078125,148.28994750976562,35.21066665649414
2020-03-27,59.86040878295898,142.2009735107422,34.29066848754883
2020-03-30,61.56870651245117,152.20350646972656,33.47533416748047
2020-03-31,61.44305038452149,149.80978393554688,34.93333435058594
2020-04-01,58.210105895996094,144.49029541015625,32.104000091552734
2020-04-02,59.181427001953125,147.48248291015625,30.29800033569336
2020-04-03,58.33090972900391,146.12413024902344,32.000667572021484
2020-04-06,63.4195442199707,156.9910888671875,34.41600036621094
2020-04-07,62.68501663208008,155.30023193359375,36.36333465576172
2020-04-08,64.2894287109375,156.85806274414062,36.589332580566406
2020-04-09,64.75332641601562,156.86756896972656,38.20000076293945
2020-04-13,66.02429962158203,157.2190399169922,43.39666748046875
2020-04-14,69.35871887207031,164.99879455566406,47.32600021362305
2020-04-15,68.72565460205078,163.2699432373047,48.65533447265625
2020-04-16,69.27173614501953,168.17144775390625,49.68066787719727
2020-04-17,68.33180236816406,169.65330505371094,50.25933456420898
2020-04-20,66.91346740722656,166.2906494140625,49.75733184814453
2020-04-21,64.84514617919922,159.41334533691406,45.78133392333984
2020-04-22,66.71289825439453,164.82777404785156,48.80733489990234
2020-04-23,66.45437622070312,162.83299255371094,47.04199981689453
2020-04-24,68.37287902832031,165.8062286376953,48.34333419799805
2020-04-27,68.42120361328125,165.33119201660156,53.25
2020-04-28,67.3121337890625,161.3036651611328,51.27466583251953
2020-04-29,69.52302551269531,168.54188537597656,53.367332458496094
2020-04-30,70.98970031738281,170.23275756835938,52.12533187866211
2020-05-01,69.84680938720703,165.82518005371094,46.75466537475586
2020-05-04,70.83505249023438,169.88128662109375,50.74599838256836
2020-05-05,71.8982162475586,171.70513916015625,51.2140007019043
2020-05-06,72.64000701904297,173.39593505859375,52.172000885009766
2020-05-07,73.39144897460938,174.40289306640625,52.00266647338867
2020-05-08,75.13829803466797,175.4287109375,54.62799835205078
2020-05-11,76.32062530517578,177.38552856445312,54.08599853515625
2020-05-12,75.44841003417969,173.36746215820312,53.96066665649414
2020-05-13,74.53742218017578,170.74574279785156,52.73066711425781
2020-05-14,74.995361328125,171.48663330078125,53.55533218383789
2020-05-15,74.55196380615234,173.98486328125,53.27799987792969
2020-05-18,76.30850982666016,175.6472625732422,54.242000579833984
2020-05-19,75.8675537109375,174.43133544921875,53.867332458496094
2020-05-20,77.34302520751953,176.85079956054688,54.37066650390625
2020-05-21,76.76640319824219,174.72666931152344,55.17333221435547
2020-05-22,77.26066589355469,174.80284118652344,54.45866775512695
2020-05-26,76.73735809326172,172.95489501953125,54.5913314819336
2020-05-27,77.0716781616211,173.18353271484375,54.68199920654297
2020-05-28,77.10559844970703,172.79295349121094,53.72066879272461
2020-05-29,77.030517578125,174.55516052246094,55.66666793823242
2020-06-01,77.97783660888672,174.1551055908203,59.87333297729492
2020-06-02,78.33880615234375,176.13641357421875,58.77066802978516
2020-06-03,78.77007293701172,176.56507873535156,58.86399841308594
2020-06-04,78.09168243408203,174.2408447265625,57.62533187866211
2020-06-05,80.31582641601562,178.31776428222656,59.04399871826172
2020-06-08,80.79070281982422,179.42269897460938,63.32799911499024
2020-06-09,83.3418960571289,180.79440307617188,62.711334228515625
2020-06-10,85.486083984375,187.5003662109375,68.336669921875
2020-06-11,81.3818359375,177.431884765625,64.85600280761719
2020-06-12,82.08445739746094,178.8321075439453,62.35200119018555
2020-06-15,83.09962463378906,179.9751739501953,66.05999755859375
2020-06-16,85.30195617675781,184.38552856445312,65.47533416748047
2020-06-17,85.18319702148438,185.0237274169922,66.11933135986328
2020-06-18,85.2171630859375,187.00503540039065,66.9306640625
2020-06-19,84.73015594482422,185.8905487060547,66.72666931152344
2020-06-22,86.947021484375,191.0533905029297,66.28800201416016
2020-06-23,88.80287170410156,192.32977294921875,66.78533172607422
2020-06-24,87.2353286743164,188.4528961181641,64.0566635131836
2020-06-25,88.39344024658203,190.83428955078125,65.73200225830078
2020-06-26,85.67748260498047,187.0145721435547,63.982666015625
2020-06-29,87.65206146240234,189.02444458007807,67.29000091552734
2020-06-30,88.38375091552734,193.8539123535156,71.98733520507812
2020-07-01,88.2165756225586,194.9874267578125,74.64199829101562
2020-07-02,88.2165756225586,196.4734344482422,80.57733154296875
